page_id,title,founder_pattern,founder_pattern_numeric,idea_pattern,idea_pattern_numeric,structural_advantage,structural_advantage_numeric,asymmetric_signal,asymmetric_signal_numeric,methods,notes
28b101d8-0eba-81d8-aeb7-ccf3d9231945,Cryptocommerce Jamaica,17/25,17.0,26/35,26.0,80%,80.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_global; asymmetric_signal:regex_structured,
28b101d8-0eba-81d9-8785-f4d2528807b2,Kleef AI,20/25,20.0,20/25,20.0,20/25,20.0,20/25,20.0,founder_pattern:regex_global; idea_pattern:regex_global; structural_advantage:regex_global; asymmetric_signal:regex_global,
28b101d8-0eba-81e0-911d-c82d8855162f,Polkadot UX Bounty,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8182-b22e-c748d450e7f7,Go Green,16/25,16.0,24/35,24.0,22/35,22.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8169-9537-effe747456a3,MeritFirst,,-1.0,660,-1.0,8,-1.0,6M,-1.0,idea_pattern:llm_fallback; structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8119-a9bd-ea4a14606c2e,Conso Labs,20/25,20.0,28/35,28.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-818c-916b-f570de74f865,PolyPort,19/25,19.0,27/35,27.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8197-91c7-d45581de1cd3,viblit,18/25,18.0,27/35,27.0,22/35,22.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-816d-89d5-c8bc3e4879b7,Zenthryx AI,19/25,19.0,27/35,27.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-814c-a4d5-f789c4f48b12,BNBet,20/25,20.0,27/35,27.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-814a-9e01-dd6a1de601df,Zingage,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81d1-81c9-c5efcb0d2a3d,Resilution,17/25,17.0,27/35,27.0,23/35,23.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8177-bff3-f3466460f8df,emdash,22/25,22.0,29/35,29.0,28/35,28.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8171-884f-fa55d3e64e62,tremor.sh,22/25,22.0,29/35,29.0,28/35,28.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81b9-9cad-d0add03eacfe,Quilter (@quilterai),,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81b3-adf0-f7f7111dc7ed,Based Panel,17/25,17.0,22/35,22.0,20/35,20.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81b5-8d5a-e1c12fdd4e58,Polyprophet,19/25,19.0,26/35,26.0,22/35,22.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8105-9c71-cda0178356db,Trimz,19/25,19.0,28/35,28.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8137-a37a-eb6731d50e89,MasterBOT,18/25,18.0,29/35,29.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81fd-a62b-d30d69748157,Funding Arbitrage Monitor,16/25,16.0,21/35,21.0,16/35,16.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81ca-902e-ff818e7e0151,Protos,19/25,19.0,27/35,27.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81db-b8c0-d332bb2e9de7,HiveBase,20/25,20.0,27/35,27.0,23/35,23.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81fc-a658-da0a45b75bb6,Bounty Bot (Bountycaster),22/25,22.0,28/35,28.0,25/35,25.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81b9-9b74-e2af599fdbf4,Bitcoin Quantum (@btc_quantum),,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8156-a45c-e878791c1ccb,Valyu,21/25,21.0,29/35,29.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-818c-9a64-f7595f9f7217,Pre-TGE Market,20/25,20.0,29/35,29.0,27/35,27.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81eb-852e-d082ce4c9a67,Facts (@factsdottrade),20/25,20.0,28/35,28.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81f4-b66d-e36b11650900,Jupiter BURST (Better User & Response Team),,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81ff-8aba-c6f5cf875f54,DrawOS,16/25,16.0,27/35,27.0,24/35,24.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-813c-bcb2-f951a5e6a068,Binance Smart Mail (BSM),14/25,14.0,19/35,19.0,14/35,14.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-816a-b1bc-cbed524f88a1,Boxel AI,20/25,20.0,31/35,31.0,27/35,27.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81ca-b51b-ed81603d988f,Polaris,,-1.0,,-1.0,,-1.0,90%,90.0,asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage
28b101d8-0eba-81cd-afd2-ef51d629c9c5,Darker,17/25,17.0,28/35,28.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-811b-8f97-d91a04251663,DOWNTOWN+ (ダウンタウンプラス),,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81fb-85f9-d0885a48d7e9,veHEMI Marketplace,20/25,20.0,28/35,28.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81d1-a738-dca3b93de5a1,Grail Index,19/25,19.0,28/35,28.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-819f-a6d3-d6e7afce1870,DETECTRA,18/25,18.0,27/35,27.0,24/35,24.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8173-9e78-c7f99d8e7aec,Oneliquid,20/25,20.0,31/35,31.0,29/35,29.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-815b-83d8-f8ab20a96445,NUPI Labs,16/25,16.0,27/35,27.0,16/25,16.0,16/25,16.0,founder_pattern:regex_global; idea_pattern:regex_structured; structural_advantage:regex_global; asymmetric_signal:regex_global,
28b101d8-0eba-81f0-b35c-c892566906b0,Narrative,19/25,19.0,28/35,28.0,27/35,27.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-812c-a1c5-ef2d3b6b9bc0,myra.fun,19/25,19.0,29/35,29.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81cd-855f-c480f814536c,wot❔ / @wotcabal,19/25,19.0,21/35,21.0,20/35,20.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81a7-916d-cc922168e77e,BUIDL,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-818d-b293-f74e205c4b97,Sky • dirix.ai,19/25,19.0,28/35,28.0,22/35,22.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81d4-bb72-ca78c1b8a422,Watrfall,20/25,20.0,28/35,28.0,95%,95.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_global; asymmetric_signal:regex_structured,
28b101d8-0eba-8113-a811-f82760e911c3,Adjusted Finance,21/25,21.0,27/35,27.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8167-a686-c14b198d3e82,Coinflow,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8157-ac4d-f4886edcb280,Layerpath,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81a8-9c6e-e48018d2f0a0,Atlas,,-1.0,2026,-1.0,$14M,-1.0,~5 years,-1.0,idea_pattern:llm_fallback; structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8153-8e74-f86ec1001ad2,Cosmic Love,17/25,17.0,22/35,22.0,21/35,21.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-815c-9e42-d4cb2f12bc50,TICKR,19/25,19.0,24/35,24.0,22/35,22.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-815f-b810-d2afd06ee4ea,mnt.fun,17/25,17.0,23/35,23.0,22/35,22.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8125-98ce-e66eead2c122,Zone In (@zonein_xyz),16/25,16.0,23/35,23.0,21/35,21.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-817f-a610-ea1ca231997a,Brookwell,20/25,20.0,30/35,30.0,30/35,30.0,5/5,5.0,founder_pattern:regex_structured; idea_pattern:regex_global; structural_advantage:regex_global; asymmetric_signal:regex_structured,
28b101d8-0eba-8173-ba20-eb4915d1947a,Lucent,22/25,22.0,29/35,29.0,27/35,27.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8104-b0d9-f46f0371202b,Mempool Radar,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-818d-82c0-ce23347642e5,Division 1,2025,-1.0,2.29,-1.0,44,-1.0,"2,500",-1.0,founder_pattern:llm_fallback; idea_pattern:llm_fallback; structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81de-a54e-fcb3c839c789,The Flourishing Company,17/25,17.0,23/35,23.0,20/35,20.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-818b-9d24-f4dff730606c,eyez.fun,16/25,16.0,27/35,27.0,21/35,21.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8194-b291-fd82bd44408f,AresShift (Ares),,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81f5-953c-e45eb4fe2468,Monarch.hl (@useMonarch),16/25,16.0,28/35,28.0,26/35,26.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8184-b0a4-daa15a37336d,Omelet Finance,16/25,16.0,24/35,24.0,23/35,23.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8190-8c47-cf196c82b6d3,Fake-A-Polymarket,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8151-9877-e2f515680078,Maximem AI,20/25,20.0,28/35,28.0,24/35,24.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81ed-847a-cb750d6e9e88,Solana ATM,17/25,17.0,29/35,29.0,24/35,24.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81ec-93a1-f1e050019d9f,Radicle,8/25,8.0,14/35,14.0,12/35,12.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-819a-adf3-e20e20a32240,Papers,1,-1.0,8,-1.0,2,-1.0,2025,-1.0,founder_pattern:llm_fallback; idea_pattern:llm_fallback; structural_advantage:llm_fallback; asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81ce-a399-c616c3e8b3f4,Aurea.gg,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81d6-8774-d35e0191d715,Riva Labs,20/25,20.0,30/35,30.0,28/35,28.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81b0-a774-f3618ef237cb,MeteoraInside,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-8190-a336-dcc666ca8c2b,Divine,,-1.0,,-1.0,,-1.0,,-1.0,,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-815c-9601-ed483fa4fe5d,PonziDAO,14/25,14.0,19/35,19.0,15/35,15.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81c9-95eb-c09b2f279969,LAB (formerly Memes Lab),19/25,19.0,26/35,26.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8105-b903-ede2a68cdcec,Chest,20/25,20.0,28/35,28.0,23/35,23.0,2/5,2.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-819e-991d-e329a979343e,Rai Tools,20/25,20.0,27/35,27.0,26/35,26.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81cb-9918-fb61ad7de5d6,Kernel Labs,19/25,19.0,22/35,22.0,20/35,20.0,3/5,3.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8131-9547-fa47d6610e66,onchain.net,12/25,12.0,16/35,16.0,14/35,14.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8157-8ae5-cdbfe99a36cf,Zordinals,,-1.0,,-1.0,,-1.0,0 tweets,-1.0,asymmetric_signal:llm_fallback,assigned_failure:founder_pattern | assigned_failure:idea_pattern | assigned_failure:structural_advantage | assigned_failure:asymmetric_signal
28b101d8-0eba-81a5-9696-ed12d0f284be,obliviouslabs,24/25,24.0,32/35,32.0,31/35,31.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-8166-904a-c92b74bccede,aixcz labs,14/25,14.0,22/35,22.0,24/35,24.0,1/5,1.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81f5-aa30-f78271f0f30d,Stable Naira (SNR),15/25,15.0,22/35,22.0,18/35,18.0,2/5,2.0,founder_pattern:regex_global; idea_pattern:regex_global; structural_advantage:regex_global; asymmetric_signal:regex_structured,
287101d8-0eba-81f3-bc46-ec4b3d76964c,Pricediction,20/25,20.0,28/35,28.0,26/35,26.0,4/5,4.0,founder_pattern:regex_structured; idea_pattern:regex_structured; structural_advantage:regex_structured; asymmetric_signal:regex_structured,
28b101d8-0eba-81c2-a10f-da6f1e271795,PolinaOS,,20,,28,,26,,4,,skipped_already_filled
28b101d8-0eba-8124-bd47-d3b3cd46fb4b,Deeptics,,20,,31,,27,,4,,skipped_already_filled
28b101d8-0eba-817f-86ae-ec2785283851,Vivoor,,20,,28,,26,,4,,skipped_already_filled
28b101d8-0eba-814a-ad6b-dfbe3af28cea,Nexa Coin (NXC),,6,,8,,6,,1,,skipped_already_filled
28b101d8-0eba-81fe-8085-d89b43bb725c,Relace,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-8176-a5e7-f812322e504b,BytePlus,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-81dc-a3ca-d08d859782aa,Chroma Awards,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-8183-9913-f4f4179fa536,VTGO充电币 (VTGO_US),,16,,24,,19,,1,,skipped_already_filled
28b101d8-0eba-8132-b241-cb932911d1bc,StackFi,,18,,26,,24,,3,,skipped_already_filled
28b101d8-0eba-81e4-8beb-f7c037b414a7,Subly,,21,,27,,23,,3,,skipped_already_filled
28b101d8-0eba-8101-8829-f7755a80f4e5,Dream Lab LA,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-8178-93db-cafb5525b13b,Plone Conference 2025,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-810a-9c12-da811eb06461,Thesys,,-1,,-1,,-1,,-1,,skipped_already_filled
28b101d8-0eba-81d2-ac77-d939e91b199e,SNAP,,19,,28,,27,,4,,skipped_already_filled
28b101d8-0eba-8158-9dfa-f2fd85525f31,Noma Protocol,,20,,28,,25,,4,,skipped_already_filled
28b101d8-0eba-814c-852a-ca4ebd6de2c0,FeenixAI,,18,,28,,24,,2,,skipped_already_filled
28b101d8-0eba-81c3-bf72-da69526c3b3b,Binance Super Smart Chain (BSSC),,21,,28,,26,,4,,skipped_already_filled
28b101d8-0eba-81af-b024-cadfd07f6560,Arcadia,,19,,31,,24,,3,,skipped_already_filled
28b101d8-0eba-8147-9d7d-c8aecd05205e,Jolt Finance,,19,,22,,20,,3,,skipped_already_filled
28b101d8-0eba-8166-8c22-c1ac38b93e19,Neuphonic,,-1,,-1,,-1,,-1,,skipped_already_filled
